owner,address,zip,source,doc_type,filing_date,case_number,adjudged_value,minimum_bid,tax_years,sale_status,score,signals
,"Adjudged Value: $202,984.00 Minimum Bid: $198,944.84",,Harris Co. Tax Sale,TAX_DELINQUENT,,202420527,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202420527,"$202,984.00","$198,944.84",null - 2025,,30,tax_delinquency
,"Adjudged Value: $85,753.00 Minimum Bid: $85,753.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,201887347,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201887347,"$85,753.00","$85,753.00",null - 2025,,30,tax_delinquency
,"Adjudged Value: $905,000.00 Minimum Bid: $25,586.41",,Harris Co. Tax Sale,TAX_DELINQUENT,,202209046,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202209046,"$905,000.00","$25,586.41",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $20,139.00 Minimum Bid: $18,361.46",,Harris Co. Tax Sale,TAX_DELINQUENT,,202332436,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202332436,"$20,139.00","$18,361.46",2003 - 2024,,30,tax_delinquency
,"Adjudged Value: $51,188.00 Minimum Bid: $16,061.90",,Harris Co. Tax Sale,TAX_DELINQUENT,,202307755,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202307755,"$51,188.00","$16,061.90",2013 - 2024,,30,tax_delinquency
,"Adjudged Value: $276,745.00 Minimum Bid: $32,368.24",,Harris Co. Tax Sale,TAX_DELINQUENT,,202375793,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202375793,"$276,745.00","$32,368.24",2021 - 2024,,30,tax_delinquency
,"Adjudged Value: $225,581.00 Minimum Bid: $42,272.90",,Harris Co. Tax Sale,TAX_DELINQUENT,,202377660,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202377660,"$225,581.00","$42,272.90",2014 - 2022,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202377660,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202377660,,,2009 - 2024,,30,tax_delinquency
,"Adjudged Value: $214,462.00 Minimum Bid: $51,705.04",,Harris Co. Tax Sale,TAX_DELINQUENT,,202531887,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202531887,"$214,462.00","$51,705.04",2016 - 2024,,30,tax_delinquency
,"Adjudged Value: $108,900.00 Minimum Bid: $13,407.11",,Harris Co. Tax Sale,TAX_DELINQUENT,,202532628,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202532628,"$108,900.00","$13,407.11",2023 - 2024,,30,tax_delinquency
,"Adjudged Value: $119,454.00 Minimum Bid: $77,618.94",,Harris Co. Tax Sale,TAX_DELINQUENT,,202035575,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202035575,"$119,454.00","$77,618.94",1998 - 2024,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202035575,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202035575,,,2006 - 2024,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202035575,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202035575,,,2006 - 2024,,30,tax_delinquency
,"Adjudged Value: $240,853.00 Minimum Bid: $29,040.11",,Harris Co. Tax Sale,TAX_DELINQUENT,,202124004,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202124004,"$240,853.00","$29,040.11",yyyy - yyyy,,30,tax_delinquency
,"Adjudged Value: $170,373.00 Minimum Bid: $42,546.73",,Harris Co. Tax Sale,TAX_DELINQUENT,,202160449,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202160449,"$170,373.00","$42,546.73",yyyy - yyyy,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202142513,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202142513,,,null - null,,30,tax_delinquency
,"Adjudged Value: $255,647.00 Minimum Bid: $554.53",,Harris Co. Tax Sale,TAX_DELINQUENT,,202468615,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202468615,"$255,647.00",$554.53,null - null,,30,tax_delinquency
,"Adjudged Value: $352,858.00 Minimum Bid: $2,000.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,202483837,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202483837,"$352,858.00","$2,000.00",null - null,,30,tax_delinquency
,"Adjudged Value: $357,386.00 Minimum Bid: $10,302.78",,Harris Co. Tax Sale,TAX_DELINQUENT,,202047228,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202047228,"$357,386.00","$10,302.78",null - null,,30,tax_delinquency
,"Adjudged Value: $274,425.00 Minimum Bid: $854.05",,Harris Co. Tax Sale,TAX_DELINQUENT,,202059275,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202059275,"$274,425.00",$854.05,null - null,,30,tax_delinquency
,"Adjudged Value: $288,130.00 Minimum Bid: $564.46",,Harris Co. Tax Sale,TAX_DELINQUENT,,202149329,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202149329,"$288,130.00",$564.46,null - null,,30,tax_delinquency
,"Adjudged Value: $391,621.00 Minimum Bid: $1,267.66",,Harris Co. Tax Sale,TAX_DELINQUENT,,202344990,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202344990,"$391,621.00","$1,267.66",null - null,,30,tax_delinquency
,"Adjudged Value: $202,167.00 Minimum Bid: $4,928.18",,Harris Co. Tax Sale,TAX_DELINQUENT,,202384129,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202384129,"$202,167.00","$4,928.18",null - null,,30,tax_delinquency
,"Adjudged Value: $244,983.00 Minimum Bid: $943.49",,Harris Co. Tax Sale,TAX_DELINQUENT,,202404367,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202404367,"$244,983.00",$943.49,null - null,,30,tax_delinquency
,"Adjudged Value: $268,187.00 Minimum Bid: $5,483.64",,Harris Co. Tax Sale,TAX_DELINQUENT,,202404393,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202404393,"$268,187.00","$5,483.64",null - null,,30,tax_delinquency
,"Adjudged Value: $294,016.00 Minimum Bid: $8,592.64",,Harris Co. Tax Sale,TAX_DELINQUENT,,202410753,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202410753,"$294,016.00","$8,592.64",null - null,,30,tax_delinquency
,"Adjudged Value: $205,295.00 Minimum Bid: $1,012.13",,Harris Co. Tax Sale,TAX_DELINQUENT,,202425741,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202425741,"$205,295.00","$1,012.13",null - null,,30,tax_delinquency
,"Adjudged Value: $291,472.00 Minimum Bid: $1,028.30",,Harris Co. Tax Sale,TAX_DELINQUENT,,202431021,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202431021,"$291,472.00","$1,028.30",null - null,,30,tax_delinquency
,"Adjudged Value: $281,530.00 Minimum Bid: $6,580.12",,Harris Co. Tax Sale,TAX_DELINQUENT,,202436921,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202436921,"$281,530.00","$6,580.12",null - null,,30,tax_delinquency
,"Adjudged Value: $236,953.00 Minimum Bid: $564.46",,Harris Co. Tax Sale,TAX_DELINQUENT,,202468614,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202468614,"$236,953.00",$564.46,null - null,,30,tax_delinquency
,"Adjudged Value: $362,386.00 Minimum Bid: $1,042.29",,Harris Co. Tax Sale,TAX_DELINQUENT,,202481403,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202481403,"$362,386.00","$1,042.29",null - null,,30,tax_delinquency
,"Adjudged Value: $182,267.00 Minimum Bid: $953.42",,Harris Co. Tax Sale,TAX_DELINQUENT,,202483047,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202483047,"$182,267.00",$953.42,null - null,,30,tax_delinquency
,"Adjudged Value: $256,891.00 Minimum Bid: $15,487.54",,Harris Co. Tax Sale,TAX_DELINQUENT,,202500768,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202500768,"$256,891.00","$15,487.54",null - null,,30,tax_delinquency
,"Adjudged Value: $371,947.00 Minimum Bid: $7,268.51",,Harris Co. Tax Sale,TAX_DELINQUENT,,202527593,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202527593,"$371,947.00","$7,268.51",null - null,,30,tax_delinquency
,"Adjudged Value: $370,812.00 Minimum Bid: $10,396.13",,Harris Co. Tax Sale,TAX_DELINQUENT,,202528573,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202528573,"$370,812.00","$10,396.13",null - null,,30,tax_delinquency
,"Adjudged Value: $327,961.00 Minimum Bid: $10,164.48",,Harris Co. Tax Sale,TAX_DELINQUENT,,202531104,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202531104,"$327,961.00","$10,164.48",null - null,,30,tax_delinquency
,"Adjudged Value: $313,643.00 Minimum Bid: $8,810.12",,Harris Co. Tax Sale,TAX_DELINQUENT,,202542815,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202542815,"$313,643.00","$8,810.12",null - null,,30,tax_delinquency
,"Adjudged Value: $1,340,836.00 Minimum Bid: $10,489.67",,Harris Co. Tax Sale,TAX_DELINQUENT,,202550359,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202550359,"$1,340,836.00","$10,489.67",null - null,,30,tax_delinquency
,"Adjudged Value: $493,676.00 Minimum Bid: $296,695.45",,Harris Co. Tax Sale,TAX_DELINQUENT,,202013398,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202013398,"$493,676.00","$296,695.45",2011 - 2020,,30,tax_delinquency
,"Adjudged Value: $454,595.00 Minimum Bid: $8,868.79",,Harris Co. Tax Sale,TAX_DELINQUENT,,202110668,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202110668,"$454,595.00","$8,868.79",2019 - 2023,,30,tax_delinquency
,"Adjudged Value: $77,341.00 Minimum Bid: $12,844.88",,Harris Co. Tax Sale,TAX_DELINQUENT,,202138107,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202138107,"$77,341.00","$12,844.88",2017 - 2024,,30,tax_delinquency
,"Adjudged Value: $247,891.00 Minimum Bid: $58,406.03",,Harris Co. Tax Sale,TAX_DELINQUENT,,202325789,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202325789,"$247,891.00","$58,406.03",2012 - 2024,,30,tax_delinquency
,"Adjudged Value: $159,970.00 Minimum Bid: $7,493.09",,Harris Co. Tax Sale,TAX_DELINQUENT,,202510203,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202510203,"$159,970.00","$7,493.09",2022 - 2024,,30,tax_delinquency
,"Adjudged Value: $304,104.00 Minimum Bid: $6,206.24",,Harris Co. Tax Sale,TAX_DELINQUENT,,202309164,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202309164,"$304,104.00","$6,206.24",2016 - 2024,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201669563,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201669563,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202030867,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202030867,,,null - null,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202445925,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202445925,,,null - null,,30,tax_delinquency
